Title,Year,Album debut,Duration,Other releases,Single A side,Single B side,Single certification,Genre,Styles,Themes,Moods,Songwriter,Lead vocal,Cover,Covered by,Chart position UK Wikipedia,Chart position US Wikipedia,Highest position The Guardian,Weeks on chart in UK The Guardian,Weeks at No1 in UK The Guardian,Highest position Billboard,Weeks at No1 Billboard,Top 50 Billboard,Top 50 Ultimate classic rock,Top 50 Rolling Stone,Top 50 NME,Top 50 Top50songs.org,Top 50 USA today 2017,Top 50 Vulture by Bill Wyman
I'm Looking Through You,1965,Rubber Soul,147,15,,,,"Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter, Rock & Roll","Feeling Blue, Regret, Late Night, Breakup",Autumnal Bittersweet Melancholy Poignant Wistful Freewheeling Rollicking Organic Exciting Yearning Plaintive Rousing,McCartney,"McCartney, with Lennon",,7,,,,,,,,,,,,,,
I'm Only Sleeping,1966,UK: Revolver US: Yesterday and Today,182,10,,,,"Psychedelic Rock, Psychedelic Folk, Pop/Rock","British Invasion, British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Rock & Roll","Stay in Bed, Sweet Dreams",Dreamy Freewheeling Spacey Trippy Whimsical Ethereal Quirky Ramshackle Sprawling Carefree Eccentric Hypnotic Druggy,Lennon,Lennon,,7,,,,,,,,,,,,,48,
I'm So Tired,1968,The Beatles,123,11,,,,"Blues Rock, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Hard Rock, Rock & Roll, British Psychedelia, Psychedelic/Garage","Feeling Blue, Late Night",Bittersweet Brooding Melancholy Nocturnal Passionate Weary Yearning Meandering Searching Anguished/Distraught Atmospheric Bitter Insular Reflective Dramatic Hypnotic,Lennon,Lennon,,5,,,,,,,,,,,,,,
I'm Talking About You,1962,"Live! at the Star-Club in Hamburg, Germany; 1962",,,,,,"Rock and Roll, Pop/Rock",British Invasion,,,Berry,Lennon,Y,,,,,,,,,,,,,,,
I'm Talking About You,1963,On Air - Live at the BBC Volume 2,112,,,,,Pop/Rock,British Invasion,,,Berry,Lennon,Y,,,,,,,,,,,,,,,
I've Got a Feeling,1969,Let It Be,217,12,,,,"Blues Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Hard Rock","New Love, Biographical, Dreaming, In Love, Nature, Relationships, Reminiscing, Wisdom",Freewheeling Passionate Ramshackle Rousing Searching Sprawling Urgent Warm Yearning Circular Raucous Rollicking,"McCartney, with Lennon","McCartney, with Lennon",,6,,,,,,,,,,,,,,
I've Just Seen a Face,1965,UK: Help! US: Rubber Soul,127,10,,,,"Folk Rock, Country, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Folk-Rock, Psychedelic/Garage","In Love, New Love",Fun Organic Playful Rollicking Yearning Carefree Earnest Freewheeling Rousing Exuberant Sweet Passionate,McCartney,McCartney,,15,,,,,,,,,,,,,,
If I Fell,1964,UK: A Hard Day's Night US: Something New,142,21,And I Love Her; If I Fell,If I Fell; Tell Me Why,,Pop/Rock,"British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Adult Contemporary, Alternative/Indie Rock, Britpop","Heartache, Affection/Fondness, Awareness, In Love, New Love, Relationships, Romance",Poignant Warm Yearning Bittersweet Earnest Innocent Delicate Dreamy Intimate Positive Romantic Sentimental Sweet Plaintive,Lennon,"Lennon, with McCartney",,14,,53,,,,,,,,26,,,,
If I Needed Someone,1965,UK: Rubber Soul US: Yesterday and Today,143,13,,,,"Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Folk-Rock, Psychedelic/Garage, Rock & Roll",,Reflective Sparkling Wistful Bright Brooding Lively Trippy,Harrison,Harrison,,8,,,,,,,,,,,,,,
If You've Got Trouble,1965,Anthology 2,169,,,,,"Rock, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Rock & Roll","Day Driving, Hanging Out, Playful, Summer, TGIF, Awareness, Celebrities, Money, Politics/Society, Wisdom",Amiable/Good-Natured Cheerful Freewheeling Lively Playful Rollicking Rousing Ramshackle,Lennon and McCartney,Starkey,,,,,,,,,,,,,,,,
In My Life,1965,Rubber Soul,148,12,,,,"Baroque Pop, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Singer/Songwriter","Introspection, Reflection, Reminiscing, Reunion",Autumnal Intimate Poignant Reflective Wistful Elegant Laid-Back/Mellow Precious Sentimental Soothing Sweet Warm Lush Bittersweet Romantic Searching Relaxed,Lennon and McCartney,Lennon,,38,78,,,,,,,,5,5,12,34,2,42
In Spite of All the Danger,1958,Anthology 1,164,,,,,"Skiffle, Blues, Rock and Roll, Pop/Rock",,,,McCartney and Harrison,Lennon,,,,,,,,,,,,,,,,
It Won't Be Long,1963,UK: With the Beatles US: Meet The Beatles!,133,13,,,,"Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll",,Bright Energetic Exciting Exuberant Fun Lively Rollicking Rousing Cheerful Gleeful Warm Raucous,"Lennon, with McCartney",Lennon,,7,,,,,,,,,,,,,,
It's All Too Much,1967,Yellow Submarine,388,11,,,,"Psychedelic Rock, Acid Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage","Late Night, Night Driving, The Creative Side",Circular Dreamy Enigmatic Ethereal Freewheeling Hypnotic Quirky Spacey Sprawling Trippy Whimsical Druggy Eerie Rousing Joyous Nocturnal Spooky,Harrison,Harrison,,4,,,,,,,,,,,,,,
It's Only Love,1965,UK: Help! US: Rubber Soul,115,15,,,,"Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Folk-Rock, Psychedelic/Garage","Breakup, Feeling Blue, Heartache, Jealousy",Bittersweet Melancholy Plaintive Searching Yearning Anguished/Distraught Autumnal Wistful Reflective,Lennon,Lennon,,3,,,,,,,,,,,,,,
Jazz Piano Song,1969,,,,,,,Boogie-Woogie,,,,"McCartney, Starkey",McCartney,,,,,,,,,,,,,,,,
Jessie's Dream,1967,,,,,,,,,,,"Lennon, McCartney, Harrison, Starkey",N/A,,,,,,,,,,,,,,,,
Johnny B. Goode,1964,Live at the BBC,161,,,,,"Rock and Roll, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Celebration, Hanging Out, Partying",Amiable/Good-Natured Innocent Swaggering Bright Yearning Freewheeling Summery Whimsical Celebratory Fun Light Lively Bravado Confident Passionate Sparkling Energetic Rollicking,Berry,Lennon,Y,,,,,,,,,,,,,,,
Julia,1968,The Beatles,174,10,"Ob-La-Di, Ob-La-Da",Julia,,"Folk, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Singer/Songwriter","Heartache, Introspection, Reflection, Reminiscing",Calm/Peaceful Dreamy Gentle Intimate Light Poignant Soothing Passionate Reflective Searching Sentimental Sweet Wistful Plaintive Yearning Organic Precious,Lennon,Lennon,,5,,,,,,,,,,,48,,43,50
Junk,1968,Anthology 3,114,,,,,"Folk, Pop/Rock","Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Affection/Fondness, Comfort, In Love, Relaxation, Sunday Afternoon",Gentle Laid-Back/Mellow Light Poignant Relaxed Soft/Quiet Sweet Warm Whimsical,McCartney,McCartney,,,,,,,,,,,,,,,,
"Kansas City/Hey, Hey, Hey, Hey",1964,UK: Beatles for Sale US: Beatles VI,163,8,Boys,"Kansas City/Hey, Hey, Hey, Hey",,"R&B, Rock and Roll, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Celebration, Hanging Out, Partying",Amiable/Good-Natured Innocent Swaggering Bright Freewheeling Summery Whimsical Celebratory Fun Light Lively Bravado Confident Passionate Sparkling Energetic Rollicking,"Leiber, Stoller/Penniman",McCartney,Y,,,,,,,,,,,,,,,
Keep Your Hands Off My Baby,1963,Live at the BBC,149,,,,,Pop/Rock,"British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Cool & Cocky, Hanging Out, Late Night",Bravado Rollicking Urgent Confrontational Summery Yearning Confident Street-Smart Energetic Lively Swaggering Light Passionate Uncompromising Rebellious,"Goffin, King",Lennon,Y,,,,,,,,,,,,,,,
Komm Gib Mir Deine Hand,1964,UK: Rarities US: Something New,146,8,Komm Gib Mir Deine Hand,Sie Liebt Dich,,"Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll","Affection/Fondness, In Love, New Love, Playful",Bright Effervescent Energetic Exciting Exuberant Fun Giddy Gleeful Happy Rollicking Rousing Warm Carefree Cheerful Playful Joyous Sweet Urgent,Lennon/McCartney/Nicolas/Hellmer,Lennon and McCartney,,,,,,,,,,,,,,,,
Lady Madonna,1968,UK: 1967-1970 US: Hey Jude,136,21,Lady Madonna,The Inner Light,RIAA Platinum,"Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","Christmas, Family, Historical Events, Lifecycle, Music, Religion",Amiable/Good-Natured Cheerful Rollicking Rousing Whimsical Carefree Freewheeling Fun Humorous Playful Quirky Exciting Exuberant Energetic,"McCartney, with Lennon",McCartney,,20,1,4,1,8,2,4,,22,,,,36,,
Leave My Kitten Alone,1964,Anthology 1,177,,,,,"Rock and Roll, Pop/Rock",,,,"Turner, McDougall",Lennon,Y,,,,,,,,,,,,,,,
Lend Me Your Comb,1963,Anthology 1,107,,,,,Pop/Rock,,,,"Twomey, Wise, Weisman",Lennon and McCartney,Y,,,,,,,,,,,,,,,
Let It Be,1969,Let It Be,243,28,Let It Be,You Know My Name (Look Up the Number),RIAA 2xPlatinum,"Rock, Gospel, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Singer/Songwriter","Comfort, Reflection, Christmas, In Love, Joy, Lifecycle, Nature, Religion, Starting Out",Calm/Peaceful Lush Poignant Refined Reflective Sentimental Soothing Stately Dramatic Reverent Warm Elegant Gentle,McCartney,McCartney,,45,2,1,2,10,,1,2,5,6,8,13,2,10,15
Like Dreamers Do,1962,Anthology 1,156,,,,,"Rock, Merseybeat, Pop/Rock",,,Rousing,McCartney,McCartney,,1,,,,,,,,,,,,,,
Little Child,1963,UK: With the Beatles US: Meet The Beatles!,108,10,,,,"Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll",,Bright Energetic Exciting Exuberant Fun Lively Rollicking Rousing Cheerful Gleeful Joyous Raucous Warm Playful Happy,Lennon and McCartney,Lennon and McCartney,,2,,,,,,,,,,,,,,
Lonesome Tears in My Eyes,1963,Live at the BBC,156,,,,,Pop/Rock,"British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Feeling Blue, Heartache, Regret",Bittersweet Romantic Bravado Detached Innocent Intimate Swaggering Theatrical Dramatic Passionate Summery Yearning Earnest Refined Sparkling Reflective,"J. Burnette, D. Burnette, Burlison, Mortimer",Lennon,Y,,,,,,,,,,,,,,,
Long Tall Sally,1964,UK: Rock 'n' Roll Music US: The Beatles Second Album,130,35,,,,"Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Merseybeat, AM Pop",,,"Blackwell, Johnson, Penniman",McCartney,Y,,,,,,,,,,,,,,,
"Long, Long, Long",1968,The Beatles,184,6,,,,"Psychedelic Folk, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Album Rock","Introspection, Late Night, Rainy Day, Small Gathering",Atmospheric Dreamy Enigmatic Ethereal Intimate Lazy Meandering Melancholy Nocturnal Searching Spacey Yearning Reflective Trippy Wistful Bittersweet Poignant Quirky Reserved,Harrison,Harrison,,3,,,,,,,,,,,46,,,
Looking Glass,1962,,,,,,,Pop/Rock,,,,McCartney,McCartney,,,,,,,,,,,,,,,,
Love Me Do,1962,UK: Please Please Me US: The Early Beatles,142,56,Love Me Do,P.S. I Love You,RIAA Platinum,"Merseybeat, R&B, Pop/Rock","British Invasion, Early Pop/Rock, Merseybeat, Contemporary Pop/Rock, Rock & Roll","Feeling Blue, Heartache",Yearning Plaintive Searching Bittersweet Earnest Poignant Warm Wistful Melancholy,"McCartney, with Lennon","McCartney, with Lennon",,9,4,1,17,18,,1,,16,,,,13,,
Love of the Loved,1962,,122,,,,,Pop/Rock,,,,"McCartney, with Lennon",McCartney,,,,,,,,,,,,,,,,
Love You To,1966,Revolver,181,8,,,,"Indian Music, Raga Rock","British Psychedelia, Psychedelic/Garage, British Invasion, Contemporary Pop/Rock",,Trippy Dreamy Eerie Ethereal Freewheeling Searching Spacey Organic Quirky Hypnotic,Harrison,Harrison,,,,,,,,,,,,,,,,
Lovely Rita,1967,Sgt. Pepper's Lonely Hearts Club Band,162,6,,,,"Psychedelic Folk, Music Hall, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Rock & Roll","Day Driving, Hanging Out, Mischievous, Playful, Spring, Summer, The Creative Side",Bright Lively Playful Quirky Rousing Summery Whimsical Witty Carefree Cheerful Eccentric Humorous Irreverent Rollicking Elaborate Gleeful Literate Stylish Brittle,McCartney,McCartney,,7,,,,,,,,,,,,,,19
Lucille,1963,Live at the BBC,141,,,,,"Rock and Roll, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Day Driving, Freedom, Hanging Out",Amiable/Good-Natured Bright Fun Bravado Energetic Freewheeling Gritty Rollicking Summery Swaggering Yearning Lively Whimsical Light Sparkling Confident,"Penniman, Collins",McCartney,Y,,,,,,,,,,,,,,,
Lucy in the Sky with Diamonds,1967,Sgt. Pepper's Lonely Hearts Club Band,208,5,,,,"Psychedelic Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Rock & Roll",The Creative Side,Ambitious Bright Druggy Elaborate Playful Theatrical Trippy Whimsical Quirky Witty Atmospheric Complex Enigmatic Eerie Freewheeling Indulgent Rousing Precious,Lennon with McCartney,Lennon,,17,,,,,,,,,39,19,39,11,21,
Madman,1969,,197,,,,,"Rock, Pop/Rock",,,,Lennon,Lennon,,,,,,,,,,,,,,,,
Maggie Mae,1969,Let It Be,40,7,,,,"Skiffle, Pop/Rock","Alternative/Indie Rock, Britpop, Country-Rock","Biographical, Crime, Money, Reminiscing, Street Life, Violence",Carefree Cheerful Comic Jovial Lively Relaxed Swinging,"Traditional, arr. Lennon, McCartney, Harrison, Starkey",Lennon,Y,,,,,,,,,,,,,,,
Magical Mystery Tour,1967,Magical Mystery Tour,171,20,,,,"Psychedelic Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage",,Brash Brassy Cheerful Exciting Exuberant Freewheeling Lively Playful Quirky Rousing Theatrical Trippy Whimsical Ambitious Celebratory Elaborate Energetic Joyous Raucous Bravado Fun Campy,"McCartney, with Lennon",McCartney,,5,,,2,12,,,,,,,,,,
"Mailman, Bring Me No More Blues",1969,Anthology 3,116,,,,,Pop/Rock,"Rock & Roll, Blues-Rock, Contemporary Pop/Rock","Drinking, Feeling Blue, Late Night",Laid-Back/Mellow Lazy Messy Ramshackle Relaxed Swaggering Yearning,"Row, Katz, Roberts, Clayton",Lennon,,,,,,,,,,,,,,,,
Martha My Dear,1968,The Beatles,148,6,,,,"Music Hall, Pop/Rock","Baroque Pop, Contemporary Pop/Rock, Early Pop/Rock",Affection/Fondness,Amiable/Good-Natured Poignant Precious Sentimental Soothing Sophisticated Sweet Warm Witty Cheerful Lush Playful Quirky Stately Elegant Happy Refined Elaborate Fun,McCartney,McCartney,,6,,,,,,,,,,,,,,
Matchbox,1964,UK: Rock 'n' Roll Music US: Something New,117,24,Matchbox,Slow Down,,"Rock and roll, Rockabilly, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Cool & Cocky, Guys Night Out, Summer",Amiable/Good-Natured Innocent Bright Freewheeling Naive Summery Yearning Warm Energetic Light Relaxed Sparkling Whimsical Confident,"Perkins, Jefferson",Starkey (Best),Y,,,17,,,,17,,40,,,,,,
Maxwell's Silver Hammer,1969,Abbey Road,207,8,,,,"Rock, Music Hall, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Prog-Rock",,Humorous Irreverent Playful Quirky Silly Rollicking Rousing Freewheeling Whimsical,McCartney,McCartney,,2,,,,,,,,,,,,42,,
Mean Mr. Mustard,1969,Abbey Road,66,6,,,,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Hard Rock, Prog-Rock, Rock & Roll, Early Pop/Rock",,Irreverent Quirky Humorous Rollicking Whimsical Druggy Hedonistic Playful Atmospheric Freewheeling,Lennon,Lennon,,2,,,,,,,,,,,,,,
"Memphis, Tennessee",1963,Live at the BBC,136,,,,,"R&B, Rock and Roll, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Affection/Fondness, Reminiscing, Reunion",Bittersweet Innocent Romantic Sentimental Wistful Yearning Freewheeling Light Relaxed Searching Earnest Naive Passionate Warm Earthy Intimate Sparkling Summery Sweet Laid-Back/Mellow Refined Reflective,Berry,Lennon,Y,,,,,,,,,,,,,,,
Michelle,1965,Rubber Soul,160,19,Michelle,Girl,,Pop/Rock,"British Invasion, Contemporary Pop/Rock, Early Pop/Rock",In Love,Intimate Laid-Back/Mellow Refined Romantic Springlike Sweet Precious Sentimental Amiable/Good-Natured Whimsical Playful,"McCartney, with Lennon",McCartney,,32,,,,,,,,,,,33,39,45,
Misery,1963,UK: Please Please Me US: Rarities,107,23,Misery; Roll Over Beethoven,Ask Me Why; Misery,,Pop/Rock,"British Invasion, Early Pop/Rock, Merseybeat, Contemporary Pop/Rock, Rock & Roll","Feeling Blue, Heartache",Bright Amiable/Good-Natured Cheerful Earnest Yearning Sweet Warm,"Lennon, with McCartney","Lennon, with McCartney",,3,,,,,,,,,,,,,,
Money (That's What I Want),1963,UK: With the Beatles US: The Beatles Second Album,167,24,,,,Pop/Rock,"British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll",,Energetic Exciting Rollicking Rousing Raucous Rowdy Exuberant Lively Rebellious,"Gordy, Bradford",Lennon,Y,,,,,,,,,,,,,,,14
Moonlight Bay,1963,Anthology 1,,,,,,Pop/Rock,,,,"Percy Wenrich, Edward Madden","Lennon, McCartney, Harrison, Eric Morecambe, Ernie Wise",,,,,,,,,,,,,,,,
Mother Nature's Son,1968,The Beatles,168,10,,,,"Folk, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Singer/Songwriter, Folk-Rock, Psychedelic/Garage","The Great Outdoors, Reflection, Relaxation",Carefree Delicate Gentle Innocent Pastoral Poignant Organic Playful Precious Summery Sweet Amiable/Good-Natured Lush Sophisticated Whimsical Elegant,McCartney,McCartney,,11,,,,,,,,,,,,,,
Mr. Moonlight,1964,UK: Beatles for Sale US: Beatles '65,155,17,,,,"Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Rock & Roll",,Atmospheric Nocturnal Passionate Yearning Plaintive Searching Eccentric Bittersweet,Johnson,Lennon,Y,,,,,,,,,,,,,,,
My Bonnie,1961,Anthology 1,,13,My Bonnie,The Saints,,"Rock and Roll, Pop/Rock","British Invasion, British Psychedelia, Early Pop/Rock, Merseybeat, Psychedelic/Garage, Rock & Roll, Folk-Rock","Affection/Fondness, Playful, Summer, Family Gatherings",Bright Exciting Fun Lively Happy Searching Sentimental Sweet Wistful Yearning Humorous Joyous Literate Lush Melancholy Quirky Rollicking Sophisticated Swaggering Ambitious Amiable/Good-Natured Cheerful Complex Exuberant Gleeful Irreverent Laid-Back/Mellow Light Playful Poignant Romantic Trippy Warm Whimsical Witty Wry Bittersweet Eccentric Celebratory,"Traditional, arr. Sheridan",Sheridan,,,,,48,1,,26,,45,,,,,,
No Reply,1964,UK: Beatles for Sale US: Beatles '65,135,15,No Reply,Rock and Roll Music,,"Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Folk-Rock, Psychedelic/Garage","Breakup, Feeling Blue, Heartache, Jealousy, Introspection",Anguished/Distraught Autumnal Gloomy Sad Somber Weary Yearning Brooding Bittersweet Nocturnal Melancholy,"Lennon, with McCartney","Lennon, with McCartney",,3,,,,,,,,,,45,,,,
Norwegian Wood (This Bird Has Flown),1965,Rubber Soul,125,18,,,,"Folk Rock, Raga Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Singer/Songwriter","Feeling Blue, Introspection, Reflection, Regret, Late Night",Autumnal Bittersweet Melancholy Poignant Reflective Wistful Yearning Atmospheric Intimate Nocturnal Plaintive Searching Organic Trippy Ethereal Literate,"Lennon, with McCartney",Lennon,,30,,,,,,,,,15,12,26,37,11,8
Not a Second Time,1963,UK: With the Beatles US: Meet The Beatles!,128,9,,,,"Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll",,Earnest Bittersweet Melancholy Reflective Warm,Lennon,Lennon,,2,,,,,,,,,,,,,,
Not Guilty,1968,Anthology 3,215,,,,,"Jazz-Pop, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Psychedelic/Garage, Singer/Songwriter, Album Rock","Breakup, Introspection, Late Night, Rainy Day, Reflection, Summer",Acerbic Atmospheric Bitter Cynical/Sarcastic Hypnotic Ironic Nocturnal Quirky Relaxed Sardonic Trippy Weary,Harrison,Harrison,,,,,,,,,,,,,,,,
Nothin' Shakin' (But the Leaves on the Trees),1963,Live at the BBC,176,,,,,Pop/Rock,"British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Day Driving, Hanging Out, Summer",Bright Energetic Rousing Detached Freewheeling Rollicking Summery Urgent Dramatic Earnest Lively Swaggering Whimsical Gritty Yearning Earthy Passionate Sparkling,Fontaine,Harrison,Y,,,,,,,,,,,,,,,
Nowhere Man,1965,UK: Rubber Soul US: Yesterday and Today,164,23,Nowhere Man,What Goes On,RIAA Gold,"Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Folk-Rock, Psychedelic/Garage",Introspection,Bright Dreamy Sparkling Autumnal Reflective Whimsical Precious Sardonic Wry Hypnotic Trippy,Lennon,Lennon,,21,,3,,,,3,,27,40,,45,,36,17
"Ob-La-Di, Ob-La-Da",1968,The Beatles,187,16,"Ob-La-Di, Ob-La-Da; Ob-La-Di, Ob-La-Da",While My Guitar Gently Weeps; Julia,,"Ska, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll",,Amiable/Good-Natured Bright Energetic Freewheeling Fun Giddy Happy Humorous Irreverent Light Lively Playful Quirky Rollicking Rousing Whimsical Summery Precious,McCartney,McCartney,,16,,49,,,,,,,,,,35,,
Octopus's Garden,1969,Abbey Road,168,10,,,,"Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","At the Beach, Birthday, Family Gatherings",Amiable/Good-Natured Carefree Cheerful Fun Humorous Playful Quirky Summery Whimsical Precious,"Starkey, with uncredited assistance from Harrison",Starkey,,3,,,,,,,,,,,,25,,
Oh! Darling,1969,Abbey Road,206,9,,,,"Swamp Pop, Hard Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Hard Rock, Rock & Roll",,Bravado Rousing Swaggering Brash Self-Conscious Theatrical Brassy Energetic Passionate Playful Quirky,McCartney,McCartney,,14,,,,,,,,,,,,33,,
Old Brown Shoe,1969,UK: 1967-1970 US: Hey Jude,196,13,The Ballad of John and Yoko,Old Brown Shoe,RIAA Gold,"Blues Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Singer/Songwriter",,Freewheeling Playful Rollicking Rousing Swaggering Wry Bravado Organic Quirky Ramshackle Exciting Humorous Irreverent Sardonic Raucous,Harrison,Harrison,,2,,,,,,,,,,,,,,
One After 909,1969,Let It Be,172,17,,,,"Roots Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","Biographical, In Love, Relationships, Reminiscing, Starting Out, Travel",Freewheeling Playful Ramshackle Rollicking Rousing,Lennon,"Lennon, with McCartney",,5,,,,,,,,,,,,,,
One and One Is Two,1964,,,,,,,,,,,McCartney,McCartney,,,,,,,,,,,,,,,,
Only a Northern Song,1967,Yellow Submarine,207,9,,,,"Psychedelic Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage",,Druggy Eerie Enigmatic Freewheeling Hypnotic Indulgent Nocturnal Ominous Quirky Spacey Spooky Trippy Detached Ethereal Dreamy Menacing Ramshackle Gloomy,Harrison,Harrison,,,,,,,,,,,,,,,,
Ooh! My Soul,1963,Live at the BBC,97,,,,,Pop/Rock,"British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Cool & Cocky, Guys Night Out, Partying, Sex",Gritty Passionate Gutsy Raucous Rollicking Rousing Yearning Bravado Lively Street-Smart Whimsical Dramatic Summery Energetic,Penniman,McCartney,Y,,,,,,,,,,,,,,,
P.S. I Love You,1962,UK: Please Please Me US: The Early Beatles,126,30,Love Me Do,P.S. I Love You,RIAA Platinum,"Merseybeat, Pop/Rock","British Invasion, Early Pop/Rock, Merseybeat, Contemporary Pop/Rock, Rock & Roll","Affection/Fondness, Heartache",Amiable/Good-Natured Bright Earnest Sentimental Sweet Warm Yearning Cheerful,"McCartney, with Lennon",McCartney,,4,4,10,,,,10,,34,,,,,,
Paperback Writer,1966,UK: A Collection of Beatles Oldies US: Hey Jude,138,27,Paperback Writer,Rain,RIAA Gold,"Hard Rock, Power Pop, Psychedelic Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll",,Energetic Exciting Rollicking Rousing Whimsical Freewheeling Humorous Ironic Playful Stylish Swaggering Carefree Quirky Urgent Raucous,McCartney,McCartney,,8,1,1,1,11,2,1,2,19,33,35,17,,42,40
Penny Lane,1966,Magical Mystery Tour,183,22,Penny Lane,Strawberry Fields Forever,RIAA Gold,"Progressive Pop, Baroque Pop, Psychedelic Pop, Psychedelic Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage","Reflection, Reminiscing, Summer",Cheerful Light Literate Lush Nostalgic Playful Quirky Sophisticated Summery Whimsical Joyous Amiable/Good-Natured Elaborate Stylish Theatrical Elegant Trippy Lively Dreamy,McCartney,McCartney,,13,2,1,2,11,,1,,24,8,32,29,17,23,3
Piggies,1968,The Beatles,124,9,,,,"Baroque Pop, Folk, Pop/Rock","Baroque Pop, Contemporary Pop/Rock, Early Pop/Rock, British Psychedelia, Psychedelic/Garage",,Acerbic Angry Bitter Dramatic Humorous Indulgent Irreverent Quirky Sardonic Silly Snide Theatrical Malevolent Nihilistic Playful Cold Elaborate Lush Rousing Bright,Harrison,Harrison,,2,,,,,,,,,,,,,,
Please Mr. Postman,1963,UK: With the Beatles US: The Beatles Second Album,156,19,Roll Over Beethoven,Please Mr. Postman,,"Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll",,Bright Fun Lively Rousing Cheerful Warm Yearning,"Dobbins, Garrett, Holland, Bateman, Gorman",Lennon,Y,,,,,,,,,,,,,,,
